id,recommended_place,state,budget_preference,original_budget_preference,budget_changed,budget_confidence,budget_audit_reason,activity_interest,trip_duration,group_type,transportation_preference,accommodation_preference,destination_type,category,record_type,rating_imputed,price_myr_imputed,price_range_imputed,place_name,city,rating,rating_was_imputed,price_myr,price_range,duration,latitude,longitude,booking_link,source,original_recommended_place,original_place_name,original_category,original_destination_type,original_activity_interest,original_price_range,original_price_range_imputed,include_for_generator,price_basis_clean,data_quality_flags
1,"Serinsim Substation, Kinabalu Park",Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.5,0.0,Free,"Serinsim Substation, Kinabalu Park",Kota Kinabalu,4.5,False,0.0,Free,,6.293950000000001,116.7078582,http://www.sabahparks.org.my/kinabalu-park,Google Places,"Serinsim Substation, Kinabalu Park","Serinsim Substation, Kinabalu Park",Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
2,Arulmigu Rajamariamman Temple,Johor,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Group of Friends,Car/Self-Drive,Budget Hotel,Heritage & Culture,Religious & Cultural,attraction,4.7,0.0,Free,Arulmigu Rajamariamman Temple,Johor Bahru,4.7,False,0.0,Free,,1.4592311,103.7638974,https://rajamariammandevasthanam.com/,Google Places,Arulmigu Rajamariamman Temple,Arulmigu Rajamariamman Temple,Religious & Cultural,Heritage & Culture,Culture,Free,Free,True,source_price,
3,Vh Green Nature Park,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Flight,Budget Hotel,Eco & Wildlife,Nature & Outdoors,attraction,4.0,0.0,Free,Vh Green Nature Park,Kuching,4.0,False,0.0,Free,,1.5894700000000002,110.2897339,http://www.instagram.com/vhgreennaturepark.official,Google Places,Vh Green Nature Park,Vh Green Nature Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
4,I Heart Kuching Street Art,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Family,Car/Self-Drive,Homestay,City & Urban,Sightseeing & Tours,attraction,5.0,0.0,Free,I Heart Kuching Street Art,Kuching,5.0,False,0.0,Free,,1.5575526,110.3455957,https://www.thestar.com.my/news/nation/2021/05/21/kuching-finally-gets-cat-on-a-wall,Google Places,I Heart Kuching Street Art,I Heart Kuching Street Art,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,
5,Langkawi Nature Park,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Flight,Budget Hotel,Beach & Island,Nature & Outdoors,attraction,3.8,0.0,Free,Langkawi Nature Park,Langkawi,3.8,False,0.0,Free,,6.3910484,99.8624607,http://www.naturepark.my/,Google Places,Langkawi Nature Park,Langkawi Nature Park,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
6,Kelambu Beach,Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Flight,Homestay,Beach & Island,Nature & Outdoors,attraction,4.4,0.0,Free,Kelambu Beach,Kota Kinabalu,4.4,False,0.0,Free,,6.987514699999999,116.7240856,https://www.sabahtourism.com/destination/kelambu-beach/,Google Places,Kelambu Beach,Kelambu Beach,Sightseeing & Tours,Beach & Island,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
7,Kota Kinabalu City Park,Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Kota Kinabalu City Park,Kota Kinabalu,4.2,False,0.0,Free,,5.981135,116.07445989999998,https://www.kotakinabalu.info/city-park.htm,Google Places,Kota Kinabalu City Park,Kota Kinabalu City Park,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
8,Street Art Jazz Kuching,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Couple,Car/Self-Drive,Hostel,City & Urban,Sightseeing & Tours,attraction,5.0,0.0,Free,Street Art Jazz Kuching,Kuching,5.0,False,0.0,Free,,1.5580946,110.3508794,https://www.thestar.com.my/metro/metro-news/2019/07/22/special-mural-highlights-kuching-jazz-festival,Google Places,Street Art Jazz Kuching,Street Art Jazz Kuching,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,
9,Kota Kinabalu Wetland Ramsar Site,Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Kota Kinabalu Wetland Ramsar Site,Kota Kinabalu,4.0,False,0.0,Free,,5.987957799999999,116.0892242,http://sabahwetlands.org/,Google Places,Kota Kinabalu Wetland Ramsar Site,Kota Kinabalu Wetland Ramsar Site,Sightseeing & Tours,Eco & Wildlife,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
10,Durian Perangin Waterfall,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.6,0.0,Free,Durian Perangin Waterfall,Langkawi,4.6,False,0.0,Free,,6.403556,99.820218,https://foreverbreak.com/travel/malaysia/langkawi/durian-perangin-waterfall/,Google Places,Durian Perangin Waterfall,Durian Perangin Waterfall,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
